audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0215,2,contradiction,premise,A man in pants scaling the side of a cliff.,A woman climbs the side of a building.,A man in pants climbs the side of a cliff.,A woman climbs the side of a building.,A man in pants scaling the side of a cliff.,A man in pants climbs the side of a cliff.,,,,,,
A0216,2,contradiction,premise,A man is standing while playing the drums for an audience.,A man is playing the piano.,A man is standing there playing drums for an audience.,A man is playing the piano.,A man is standing while playing the drums for an audience.,A man is standing there playing drums for an audience.,,,,,,
A0217,2,contradiction,premise,A small kid wearing a helmet smiles while his father is doing some adjustment at its back.,The kid is flying through the sky wearing a cape.,A little boy wearing a helmet smiles as his father makes adjustments to his back.,The kid is flying through the sky wearing a cape.,A small kid wearing a helmet smiles while his father is doing some adjustment at its back.,A little boy wearing a helmet smiles as his father makes adjustments to his back.,,,,,,
A0218,2,contradiction,hypothesis,Someone in a blue coat and white sneakers is airborne.,The person is laying on the ground.,Someone in a blue coat and white sneakers is airborne.,The person is lying on the floor.,The person is laying on the ground.,The person is lying on the floor.,,,,,,
A0219,0,entailment,hypothesis,A little boy in red stands on top of a rock with a smile and outstretched arms.,A little boy in red is outdoors.,A little boy in red stands on top of a rock with a smile and outstretched arms.,There's a little boy in red outside.,A little boy in red is outdoors.,There's a little boy in red outside.,,,,,,
A0220,1,neutral,hypothesis,A woman dressed in black boots and a black trench coat is walking down the middle of the street.,The woman walking down the street trips and falls.,A woman dressed in black boots and a black trench coat is walking down the middle of the street.,The woman walking down the street stumbles and falls.,The woman walking down the street trips and falls.,The woman walking down the street stumbles and falls.,,,,,,
A0221,2,contradiction,hypothesis,A man dressed in a green jacket is playing piano while a woman sings.,A man is burning a piano.,A man dressed in a green jacket is playing piano while a woman sings.,A man burns a piano.,A man is burning a piano.,A man burns a piano.,,,,,,
A0222,0,entailment,hypothesis,"Two cyclists competing in road race, one in front of the other.",Two people are racing.,"Two cyclists competing in road race, one in front of the other.",Two people are in a race.,Two people are racing.,Two people are in a race.,,,,,,
A0223,2,contradiction,premise,A man is reading a newspaper at a Chinese food store.,A teenage girl is standing on the table.,A man reads a newspaper in a Chinese food store.,A teenage girl is standing on the table.,A man is reading a newspaper at a Chinese food store.,A man reads a newspaper in a Chinese food store.,,,,,,
A0224,1,neutral,premise,A girl at a park cooking lunch.,A girl is making a hot dog for lunch.,There's a girl in a park cooking lunch.,A girl is making a hot dog for lunch.,A girl at a park cooking lunch.,There's a girl in a park cooking lunch.,,,,,,
A0225,1,neutral,premise,A chef in white clothes is putting something into a brick oven.,A chef in white clothes is putting a pizza into a brick oven.,A chef in white clothes puts something in a brick oven.,A chef in white clothes is putting a pizza into a brick oven.,A chef in white clothes is putting something into a brick oven.,A chef in white clothes puts something in a brick oven.,,,,,,
A0226,2,contradiction,hypothesis,Small child in green shorts and green shirt squatting and looking at something.,The child is standing up.,Small child in green shorts and green shirt squatting and looking at something.,The child is standing.,The child is standing up.,The child is standing.,,,,,,
A0227,0,entailment,hypothesis,A man in a blue shirt playing the drums and singing.,A man is playing drums and singing at the same time.,A man in a blue shirt playing the drums and singing.,A man plays drums and sings at the same time.,A man is playing drums and singing at the same time.,A man plays drums and sings at the same time.,,,,,,
A0228,0,entailment,hypothesis,A man on a laptop at a table.,A man using a computer.,A man on a laptop at a table.,A man who uses a computer.,A man using a computer.,A man who uses a computer.,,,,,,
A0229,1,neutral,premise,A closeup of a bicycle rider's leg.,The person is participating in a bike race.,It's a close-up of a cyclist's leg.,The person is participating in a bike race.,A closeup of a bicycle rider's leg.,It's a close-up of a cyclist's leg.,,,,,,
A0230,2,contradiction,premise,A lady pouring tea into tea cups with flower print on them.,a lady pouring wine for guests,A lady pouring tea into cups of tea with floral prints on them.,a lady pouring wine for guests,A lady pouring tea into tea cups with flower print on them.,A lady pouring tea into cups of tea with floral prints on them.,,,,,,
A0231,1,neutral,premise,A girl with yellow sunglasses is laying on the ground with a girl wearing brown sunglasses.,sisters lay on the ground,A girl with yellow sunglasses is lying on the floor with a girl with brown sunglasses.,sisters lay on the ground,A girl with yellow sunglasses is laying on the ground with a girl wearing brown sunglasses.,A girl with yellow sunglasses is lying on the floor with a girl with brown sunglasses.,,,,,,
A0232,0,entailment,premise,A boy is checking a system on the computer.,A boy is using a computer.,A boy checks a system on the computer.,A boy is using a computer.,A boy is checking a system on the computer.,A boy checks a system on the computer.,,,,,,
A0233,0,entailment,hypothesis,A dog running fast with ears flying.,The dog is running fast.,A dog running fast with ears flying.,The dog runs fast.,The dog is running fast.,The dog runs fast.,,,,,,
A0234,2,contradiction,premise,A group of people digging a large hole.,A bulldozer digging a hole.,A group of people are digging a big hole.,A bulldozer digging a hole.,A group of people digging a large hole.,A group of people are digging a big hole.,,,,,,
A0235,0,entailment,hypothesis,a lone skier walking cross a snowy bank with trees in the background,A person is out in the outdoors.,a lone skier walking cross a snowy bank with trees in the background,There's a person outside.,A person is out in the outdoors.,There's a person outside.,,,,,,
A0236,2,contradiction,premise,"A young man performs yoga, inspired by a beautiful day on the beach.",A karate battle in the woods,"A young man practicing yoga, inspired by a beautiful day on the beach.",A karate battle in the woods,"A young man performs yoga, inspired by a beautiful day on the beach.","A young man practicing yoga, inspired by a beautiful day on the beach.",,,,,,
A0237,1,neutral,hypothesis,People walk down the busy sidewalk.,People happily walk down the sidewalk.,People walk down the busy sidewalk.,People are walking happily down the sidewalk.,People happily walk down the sidewalk.,People are walking happily down the sidewalk.,,,,,,
A0238,1,neutral,hypothesis,Tattooed man getting a tattoo.,A tattooed man is getting a tattoo of a Chinese character.,Tattooed man getting a tattoo.,A tattooed man gets a Chinese character tattooed.,A tattooed man is getting a tattoo of a Chinese character.,A tattooed man gets a Chinese character tattooed.,,,,,,
A0239,1,neutral,hypothesis,A wedding party scene with the bride throwing the bouquet of flowers to onlooking women.,A bride throws the flowers to her sister.,A wedding party scene with the bride throwing the bouquet of flowers to onlooking women.,A bride throws flowers to her sister.,A bride throws the flowers to her sister.,A bride throws flowers to her sister.,,,,,,
A0240,2,contradiction,hypothesis,Men are working on scaffolding outside of a building while other men watch.,Men are working indoors.,Men are working on scaffolding outside of a building while other men watch.,The men work inside.,Men are working indoors.,The men work inside.,,,,,,
