input_position,source_index,premise,hypothesis
670,457878,A girl doing something on her cellphone.,There is a person with a telecommunications device.
671,457899,A woman in a red dress and a man in a white suite are engaging in a ballet performance on a purple lit stage.,A man and woman are dancing.
672,458599,A closeup of a man riding his bicycle through the forest.,A man is riding his bicycle in the forest to exercise.
673,458628,Two young girls one blond one brunette are puckering there lips and showing a peace sign with there fingers.,The girls have no fingers.
674,459828,Young girl jumping off a swing.,Someone is jumping.
675,461143,A woman in a white shirt sitting on a gray bench in front of a wall with graffiti written on it.,A person in a white shirt swimming in a lake.
676,463262,A brown and black dog approaching a red ball.,The ball attracted the dog's attention.
677,463559,"A woman is jogging on a road by a shoreline, holding an item up in the air.",The woman is holding a rock.
678,463572,A man is selling water and lemonade at a stand.,a vendor is selling lemonade.
679,463687,Children are playing outside in a rocky area beside a river.,Children are playing oustide with their parents.
680,464513,A small kid wearing a helmet smiles while his father is doing some adjustment at its back.,The kid is flying through the sky wearing a cape.
681,464854,Little boy pushing another little boy up the pole.,There are two boys.
682,464901,A man wearing a colorful suit sits on a sidewalk playing a basset horn to collect money.,A man juggles on the street.
683,466557,Woman walking on a puddle of water.,A woman with wet Nike sneakers.
684,467470,A group of people are sitting on the top of a boat.,The people are swimming
685,467865,Two players in red white and blue football uniforms squat down on the field.,Two players in red white and blue football uniforms squat down on the field and holding their helmets.
686,468548,A class of students all doing different actions.,A class of students working on one math problem.
687,469856,The men are talking to the person in the police van.,There is a criminal in the back of a police van.
688,470247,A man with a yellow hat on is leaning on a wall of some sort.,someone with a yellow hat leans
689,470257,A child wearing a green shirt and blowing bubbles.,A child in green is playing baseball.
690,472747,Young boy delivers a jumping martial arts kick.,The boy practices martial arts.
691,472789,A young boy points a toy rifle off-camera.,A boy is holding a sword.
692,473855,There is a person sitting on a plastic blow-up float in the high piled snow.,The person is outdoors.
693,474441,A baby decides to pack himself away in a suitcase.,A baby ends up in a suitcase and is promptly discovered.
694,474740,A man in white is playing a black accordion.,man plays accordion
695,475013,The racer zooms past the wooded area leaving a cloud of dust.,The car is fast.
696,475232,A guy snowboarding down a pole that is on top of a blue vehicle into the snow.,A man performs snowboard stunts in a scored event.
697,475671,The people are standing outside after a wedding.,It was a wedding for two Indian people
698,477167,A man in a white t-shirt is standing outside on a busy street.,The woman is wearing a white shirt.
699,477223,A guy is jumping in the air while a group of people stand around and ignore him.,A guy is really an alien from Neptune.
700,477332,People are in a restaurant eating.,A group of individuals eating in a restaurant.
701,477877,A man wearing yellow riding a bike.,A man steering a bike.
702,477962,Three teenage girls walking down the sidewalk together on a nice day,Girls are walking in the daytime.
703,478194,Beautiful day to play fetch with dog while relaxing on the dock at the lake.,The sun shines upon the lake.
704,482019,A man in glasses talks to a woman while shopping for orange juice.,There is a man shopping while avoiding a women
705,482758,A man bundled up in a coat displaying with his arms a bunch of clothes.,The man was about to go outside
706,484972,Four cheerleaders at a basketball game dance at half-court during a break in the game.,Four cheerleaders dance during a break in the game.
707,485427,A child jumps onto a bed.,The child is jumping on the bed and his big sister is worried that the bed will break and they will get scolded.
708,485580,A man who is wearing glasses is planting trees.,A man plants strawberries.
709,485598,There are 2 shirtless boys jumping up from some water looking at a soccer ball.,Two boys are playing with a soccer ball in a pool.
710,485858,"A woman with long dark hair is walking on a sidewalk past some tall buildings, while two other people walk across the street with their dog.",People walking.
711,486098,A professor explaining a University level lecture.,A professor in class.
712,486675,Two people are hugging and one is wearing a pink-hooded stretch top.,Both people are wearing scuba suits.
713,487229,A young girl in a green bathing suit getting splashed with water.,A girl in a red tank top gets splashed with water.
714,487685,There are three people sitting on a bench outside a building and one man standing next to it looking at a newspaper.,The people are talking.
715,488220,A lady with a blue coat is seen riding a bike in front of a store.,A lady with a blue coat is getting exercise.
716,488702,"A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.","On the grass near the water, a person in a yellow hat walks carrying fishing gear."
717,488841,People are standing in a room with a television that has a picture of a boat on the water.,A man sits online in a dark room eating pizza and watching Wheel of Fortune.
718,489327,A person wearing a red vest climbs up a steep rock.,A person is repelling down the mountain.
719,489352,A young man is taking his hat off while walking from his graduation.,A student is sitting after graduating.
720,489857,A little boy learning how to handle an owl in the outdoors.,A boy is learning.
721,490129,"A red and silver muscle car, waits to start a drag race.",the car is in a long race
722,491039,A young lady is being videotaped while she's sitting in her stroller in front of a Sysco truck on the sidewalk.,a young woman is being filmed while she sits in her stroller on the sidewalk in front of a truck
723,492175,A person holding a small dog on a leash is bending over and looking through items.,The person is looking though several shopping bags.
724,493759,Yellow dog catches ball in shallow waters.,Dog sleeping
725,494996,Greyhound dogs wearing racing stripes are running out of a gate on a track.,Dogs wearing racing stripes are running out of a gate on a track.
726,495730,A woman in a park wearing a hat and holding a scarf over her face.,A woman is in a city park.
727,495795,A man is walking on a trail in the woods while a young girl is attempting to climb some boards of wood.,A man walks in the woods while a young girl climbs.
728,496534,Three guys riding on an elephant with a house-like structures and trees in the background.,The elephants sometimes fight their trainers.
729,499937,They blow their trumpets.,The trumpeters are playing fiddles.
730,500623,The horse on the left has a white mane.,The horse is solid black.
731,501731,"Two people, a woman wearing an orange shirt and a man wearing a blue shirt, are jumping out of swings in midair.",No one is jumping from a swing.
732,501926,A man in a plaid shirt exhales smoke on a crowded city street.,A firetruck goes down the street.
733,502223,Three men are standing next to each other wearing different colored shirts.,Three brothers wearing their favorite color shirt.
734,502423,A man smiles and poses with a product he appears to be trying to sell.,A person is posing with an object.
735,503039,Girl poses on couch on suburban lawn.,A girl posing for a photo shoot on a couch.
736,504105,A man wearing a blue shirt smokes a cigarette in front of an official building.,A man wearing a blue shirt.
737,504992,Two women walking toward the camera along a sidewalk while wearing a backpack and showing midriff.,There are clothes on the women.
738,506005,A woman with gray hair is sitting next to a little boy who is holding onto the handles of a stroller and a little girl who is sitting in a different stroller.,An older lady is resting with a couple of children.
739,506414,The trees are green,All trees are green.
740,508521,A person in a red shirt doing tricks on a bicycle.,A person is competing in a bmx competition.
741,509169,A couple hug in a crowded place.,A man hugs his boyfriend at a protest.
742,509328,A woman in an orange bikini is massaging a man.,A woman is touching a man.
743,509438,Two women sit at desks in a large room with white walls.,The women are esitting in a white room.
744,510455,Here is a picture of an older lady wearing a beanie and carrying her terrier in a field outside.,Here is a picture of a older person wearing a hat and carrying her dog outside.
745,510869,A man is sitting on the floor meditating,A man is meditating while listening to water noises.
746,511280,A mottled black and gray dog in a blue collar jumping over a fallen tree.,A white dog in a red collar jumping over a tree.
747,511871,The man in blue is punching the man with the red gloves while he blocks his face.,Floyd Mayweather is laying some smack down on a hapless challenger.
748,512053,"Man performing stunt, lady breaking block on his stomach with sludge hammer.",Nobody is performing.
749,512639,A skateboarder makes a jump while someone films it.,The skateboarder landed the jump perfectly.
750,512695,A young girl in a pink shirt creates a painting on paper.,A young girl draws.
751,512778,"A man riding a four-wheel ATV in the dessert, kicking up sand in his wake.",The man is riding his atv on the city road.
752,513211,two men working a construction job,The two men are sweating.
753,513720,"Three women in white mini dresses, carrying white umbrellas and drinks, walking in an unknown desert location.",Three women are waiting in the desert while wearing short dresses.
754,513835,A man in a black hooded sweater stands behind a rich variety of fruits and vegetables.,A fruit salad on the rung from the cops.
755,514380,"A woman, with a drink in hand, is leaning against a silver car parked along the street, while looking at the camera.",A female is going to take a picture of a car that she is trying to sell.
756,515747,A boy poses on a shadow-dappled lawn.,A boy takes a bath.
757,516128,A man in a green striped shirt drums furiously.,The man is playing drums.
758,517858,Older female walking with cane next to flower wreaths.,An older woman is walking with a cane.
759,518461,A dog up to its belly in the snow attempts to move.,An animal outdoors.
760,518638,A man on a cellphone stands outside of a building with pictures of women in black shirts behind him.,The woman is late for her appointment
761,519201,A white ice cream truck stopped on the side of the road and a man stopped to buy some.,A green ice cream truck stopped on the side of the road and a woman stopped to buy some.
762,519469,Many birds are sitting on a concrete wall.,Many pigeons are sitting on a concrete wall.
763,519819,A man hiking with a large backpack and two poles near a collection of pointy white rocks.,The man hiking is caucasian.
764,520042,A Team USA player passing the ball to another player.,The people do not have a ball.
765,520786,Man with gray hair telling a story to a group of younger people on a bench.,The man is entertaining people
766,521347,A blond woman is holding a microphone and making a zero sign with her fingers.,A woman is speaking into a microphone.
767,521683,A little girl in a hat sits under a grocery cart.,A girl is sleeping in her bed.
768,523638,A person is walking by a wall that is surrounding a church.,A person is walking by an ice cream stand.
769,524089,A brunette with a lei around her head.,A person with a lei around their head.
770,524354,Two girls looking at bubbles in the air.,Two boys were climbing a tree
771,524385,A boy in a flowered apron standing at a stove while a woman stirs a pot in the background.,A boy in a flowered apron is helping make soup.
772,524406,A young woman is stirring something in a pot while a young boy wearing a flowered apron stands by her.,They are making soup
773,524854,A little girl smiling and holding a small object.,A girl is proud of her object.
774,527833,These two people are eating.,Two humans are having a meal.
775,528482,A religious man in a robe is sitting in contemplation.,A man wearing a robe looks to be very religious
776,528520,A surfer catching a wave.,A person is surfing.
777,530538,Four young boys are standing around a grill.,Four young boys are standing in a group.
778,531157,A girl sitting in the back of a cart full of various belongings.,A boy carries his belongings in his arms.
779,533036,A woman wearing a colorful shawl on her head is using a sewing machine.,A sewing machine is used by a woman wearing a colorful shawl.
780,534650,Someone in a blue coat and white sneakers is airborne.,The person is laying on the ground.
781,537726,A closeup of a bicycle rider's leg.,The person is participating in a bike race.
782,538979,The local street is busy with a food market and bus transportation.,There is a bus that brings you to the local street fair that sells food.
783,539080,Two asian women are sitting in the shade under a tree.,Two women are relaxing.
784,539243,Two men wearing sandals walking.,the men are asleep in the motel
785,539998,A small black girl in a bathing suit,The girl is visiting her grandmother who lives on Martha's Vineyard.
786,540283,"A horse pulls a wagon with a bale of hay on top, while a man sits on top of the bale with his hand in the air.",A man wears a hat.
787,540574,man wearing gray jacket watching family at worship.,A man is at home eating dinner.
788,541031,A woman and a man holding a small boy smile while standing in front of a decorated christmas tree with gifts under it.,The family is celebrating its last Channukah.
789,541746,A person in yellow is riding a dirt bike on a dirt path.,A guy driving an ATV through the park.
790,542263,A girl in a floral bathing suit jumping on the beach in front of the waves.,A five year old girl is on vacation with her family.
791,542646,A sports team is lined up outside.,The sports team is laying down on the field.
792,543160,A man has a pan and what looks like a block of dirt.,A man with a pan.
793,545706,A middle-aged solo musician performs by singing and playing the guitar.,The muscisian is on stage.
794,546367,Two people are standing in a flower shop.,People in a store.
795,547621,Three dogs playing in the snow.,Dogs play outside.
796,548940,A man in a yellow shirt is reading a book.,A man is reading while waiting for a bus.
797,549041,"A man in a purple hat, white shirt, wearing earbuds, listening to music, sitting outside a city building.",He is taking shelter from the hurricane.
798,549274,A female swimmer wearing a swim cap and nose clips moves slowly through the water is seen from below.,A female swimmer swims.
799,549910,Crowd standing outside a metro area.,The crowd is sitting in a field.
